JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
19,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Used,NA,2018-09-28 03:29:06,Friday,2017-01-06 22:00:00,2030,0.058
281,webserver-job,webserver-weekly-CopyPool-1,F,T,3,Used,NA,2017-10-29 07:15:25,Friday,2017-01-20 22:00:00,2030,0.058
300,webserver-job,webserver-daily-CopyPool-0,D,T,4,Used,NA,2017-10-10 12:06:36,Monday,2017-01-23 22:00:01,2029,0.058
331,webserver-job,webserver-daily-CopyPool-0,D,T,4,Used,NA,2017-10-10 12:06:36,Tuesday,2017-01-24 22:00:00,2029,0.058
366,webserver-job,webserver-daily-CopyPool-0,D,T,4,Used,NA,2017-10-10 12:06:36,Wednesday,2017-01-25 22:00:00,2029,0.058
405,webserver-job,webserver-daily-CopyPool-0,D,T,4,Used,NA,2017-10-10 12:06:36,Thursday,2017-01-26 22:00:01,2029,0.058
448,webserver-job,webserver-weekly-CopyPool-2,F,T,4,Used,NA,2017-10-29 09:08:39,Friday,2017-01-27 22:00:00,2030,0.058
471,webserver-job,webserver-daily-CopyPool-0,D,T,5,Used,NA,2017-10-10 12:06:36,Monday,2017-01-30 22:00:01,2029,0.058
502,webserver-job,webserver-daily-CopyPool-0,D,T,5,Used,NA,2017-10-10 12:06:36,Tuesday,2017-01-31 22:00:01,2029,0.058
537,webserver-job,webserver-daily-CopyPool-0,D,T,5,Used,NA,2017-10-10 12:06:36,Wednesday,2017-02-01 22:00:00,2029,0.058
576,webserver-job,webserver-daily-CopyPool-0,D,T,5,Used,NA,2017-10-10 12:06:36,Thursday,2017-02-02 22:00:01,2029,0.058
619,webserver-job,webserver-monthly-CopyPool-1,F,T,5,Append,2017-02-06 20:00:06,NA,Friday,2017-02-03 22:00:00,2030,0.058
638,webserver-job,webserver-daily-CopyPool-0,D,T,6,Used,NA,2017-10-10 12:06:36,Monday,2017-02-06 22:00:00,2029,0.058
669,webserver-job,webserver-daily-CopyPool-0,D,T,6,Used,NA,2017-10-10 12:06:36,Tuesday,2017-02-07 22:00:00,2029,0.058
704,webserver-job,webserver-daily-CopyPool-1,D,T,6,Append,2017-10-05 12:22:43,NA,Wednesday,2017-02-08 22:00:00,2029,0.058
743,webserver-job,webserver-daily-CopyPool-1,D,T,6,Append,2017-10-05 12:22:43,NA,Thursday,2017-02-09 22:00:00,2029,0.058
786,webserver-job,webserver-weekly-CopyPool-0,F,T,6,Append,2017-10-04 10:55:03,NA,Friday,2017-02-10 22:00:00,2030,0.058
813,webserver-job,webserver-daily-CopyPool-1,D,T,7,Append,2017-10-05 12:22:43,NA,Monday,2017-02-13 22:00:00,2029,0.058
844,webserver-job,webserver-daily-CopyPool-1,D,T,7,Append,2017-10-05 12:22:43,NA,Tuesday,2017-02-14 22:00:00,2029,0.058
877,webserver-job,webserver-daily-CopyPool-1,D,T,7,Append,2017-10-05 12:22:43,NA,Wednesday,2017-02-15 22:00:00,2029,0.058
912,webserver-job,webserver-daily-CopyPool-1,D,T,7,Append,2017-10-05 12:22:43,NA,Thursday,2017-02-16 22:00:01,2029,0.058
949,webserver-job,webserver-weekly-CopyPool-0,F,T,7,Append,2017-10-04 10:55:03,NA,Friday,2017-02-17 22:00:00,2030,0.058
