JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolRecycleTime,DayOfWeek,StartTime,Files,GB
9,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Append,NA,Monday,2017-01-02 22:00:00,2030,0.058
11,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Append,NA,Friday,2017-01-06 22:00:02,2030,0.058
28,webserver-job,webserver-weekly-CopyPool-0,F,T,2,Append,NA,Friday,2017-01-13 22:00:02,2030,0.058
45,webserver-job,webserver-weekly-CopyPool-0,F,T,3,Append,NA,Friday,2017-01-20 22:00:02,2030,0.058
52,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,2017-02-15 12:00:38,Wednesday,2017-01-18 22:00:02,2029,0.058
54,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,2017-02-15 12:00:38,Thursday,2017-01-19 22:00:02,2029,0.058
62,webserver-job,webserver-weekly-CopyPool-0,F,T,4,Append,NA,Friday,2017-01-27 22:00:02,2030,0.058
65,webserver-job,webserver-daily-CopyPool-1,D,T,4,Used,2017-02-15 12:00:38,Monday,2017-01-23 22:00:02,2029,0.058
67,webserver-job,webserver-daily-CopyPool-1,D,T,4,Used,2017-02-15 12:00:38,Tuesday,2017-01-24 22:00:02,2029,0.058
69,webserver-job,webserver-daily-CopyPool-1,D,T,4,Used,2017-02-15 12:00:38,Wednesday,2017-01-25 22:00:02,2029,0.058
71,webserver-job,webserver-daily-CopyPool-1,D,T,4,Used,2017-02-15 12:00:38,Thursday,2017-01-26 22:00:02,2029,0.058
79,webserver-job,webserver-monthly-CopyPool-0,F,T,5,Append,NA,Friday,2017-02-03 22:00:02,2030,0.058
82,webserver-job,webserver-daily-CopyPool-1,D,T,5,Used,2017-02-15 12:00:38,Monday,2017-01-30 22:00:03,2029,0.058
84,webserver-job,webserver-daily-CopyPool-1,D,T,5,Used,2017-02-15 12:00:38,Tuesday,2017-01-31 22:00:02,2029,0.058
86,webserver-job,webserver-daily-CopyPool-1,D,T,5,Used,2017-02-15 12:00:38,Wednesday,2017-02-01 22:00:02,2029,0.058
88,webserver-job,webserver-daily-CopyPool-1,D,T,5,Used,2017-02-15 12:00:38,Thursday,2017-02-02 22:00:02,2029,0.058
96,webserver-job,webserver-weekly-CopyPool-0,F,T,6,Append,NA,Friday,2017-02-10 22:00:02,2030,0.058
99,webserver-job,webserver-daily-CopyPool-0,D,T,6,Append,NA,Monday,2017-02-06 22:00:03,2029,0.058
101,webserver-job,webserver-daily-CopyPool-0,D,T,6,Append,NA,Tuesday,2017-02-07 22:00:02,2029,0.058
103,webserver-job,webserver-daily-CopyPool-0,D,T,6,Append,NA,Wednesday,2017-02-08 22:00:02,2029,0.058
105,webserver-job,webserver-daily-CopyPool-0,D,T,6,Append,NA,Thursday,2017-02-09 22:00:02,2029,0.058
113,webserver-job,webserver-weekly-CopyPool-0,F,T,7,Append,NA,Friday,2017-02-17 22:00:02,2030,0.058
