JobId,Name,Client,StartDate,StartTime,Type,Level,JobFiles,JobBytes,JobStatus
5,webserver-job,webserver-fd,2017-01-06,22:00:02,B,F,2067,62873878,T
10,webserver-job,webserver-fd,2017-01-13,22:00:02,B,F,2066,62900514,T
15,webserver-job,webserver-fd,2017-01-20,22:00:02,B,F,2074,63056912,T
20,webserver-job,webserver-fd,2017-01-27,22:00:02,B,F,2034,62321389,T
21,webserver-job,webserver-fd,2017-01-30,22:00:02,B,D,2066,62924886,T
22,webserver-job,webserver-fd,2017-01-31,22:00:02,B,D,2034,62432568,T
23,webserver-job,webserver-fd,2017-02-01,22:00:02,B,D,2059,62903615,T
24,webserver-job,webserver-fd,2017-02-02,22:00:02,B,D,2063,62895776,T
25,webserver-job,webserver-fd,2017-02-03,22:00:02,B,F,2059,62685691,T
26,webserver-job,webserver-fd,2017-02-06,22:00:02,B,D,2060,62837962,T
27,webserver-job,webserver-fd,2017-02-07,22:00:02,B,D,2039,62496992,T
28,webserver-job,webserver-fd,2017-02-08,22:00:02,B,D,2064,62899602,T
29,webserver-job,webserver-fd,2017-02-09,22:00:02,B,D,2062,62852478,T
30,webserver-job,webserver-fd,2017-02-10,22:00:02,B,F,2038,62392827,T
