JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
19,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Used,NA,2018-09-28 03:29:06,Friday,2017-01-06 22:00:00,2030,0.058
281,webserver-job,webserver-weekly-CopyPool-1,F,T,3,Used,NA,2017-10-29 07:15:25,Friday,2017-01-20 22:00:00,2030,0.058
448,webserver-job,webserver-weekly-CopyPool-2,F,T,4,Used,NA,2017-10-29 09:08:39,Friday,2017-01-27 22:00:00,2030,0.058
619,webserver-job,webserver-monthly-CopyPool-1,F,T,5,Append,2017-02-06 20:00:06,NA,Friday,2017-02-03 22:00:00,2030,0.058
704,webserver-job,webserver-daily-CopyPool-1,D,T,6,Used,NA,2017-10-10 16:26:26,Wednesday,2017-02-08 22:00:00,2029,0.058
743,webserver-job,webserver-daily-CopyPool-1,D,T,6,Used,NA,2017-10-10 16:26:26,Thursday,2017-02-09 22:00:00,2029,0.058
786,webserver-job,webserver-weekly-CopyPool-0,F,T,6,Append,2017-10-04 10:55:03,NA,Friday,2017-02-10 22:00:00,2030,0.058
813,webserver-job,webserver-daily-CopyPool-1,D,T,7,Used,NA,2017-10-10 16:26:26,Monday,2017-02-13 22:00:00,2029,0.058
844,webserver-job,webserver-daily-CopyPool-1,D,T,7,Used,NA,2017-10-10 16:26:26,Tuesday,2017-02-14 22:00:00,2029,0.058
877,webserver-job,webserver-daily-CopyPool-1,D,T,7,Used,NA,2017-10-10 16:26:26,Wednesday,2017-02-15 22:00:00,2029,0.058
912,webserver-job,webserver-daily-CopyPool-1,D,T,7,Used,NA,2017-10-10 16:26:26,Thursday,2017-02-16 22:00:01,2029,0.058
949,webserver-job,webserver-weekly-CopyPool-0,F,T,7,Append,2017-10-04 10:55:03,NA,Friday,2017-02-17 22:00:00,2030,0.058
976,webserver-job,webserver-daily-CopyPool-1,D,T,8,Used,NA,2017-10-10 16:26:26,Monday,2017-02-20 22:00:01,2029,0.058
1007,webserver-job,webserver-daily-CopyPool-1,D,T,8,Used,NA,2017-10-10 16:26:26,Tuesday,2017-02-21 22:00:00,2029,0.058
1040,webserver-job,webserver-daily-CopyPool-1,D,T,8,Used,NA,2017-10-10 16:26:26,Wednesday,2017-02-22 22:00:00,2029,0.058
1075,webserver-job,webserver-daily-CopyPool-1,D,T,8,Used,NA,2017-10-10 16:26:26,Thursday,2017-02-23 22:00:00,2029,0.058
1112,webserver-job,webserver-weekly-CopyPool-0,F,T,8,Append,2017-10-04 10:55:03,NA,Friday,2017-02-24 22:00:00,2030,0.058
1139,webserver-job,webserver-daily-CopyPool-0,D,T,9,Append,2017-10-05 17:31:15,NA,Monday,2017-02-27 22:00:00,2029,0.058
1170,webserver-job,webserver-daily-CopyPool-0,D,T,9,Append,2017-10-05 17:31:15,NA,Tuesday,2017-02-28 22:00:00,2029,0.058
1203,webserver-job,webserver-daily-CopyPool-0,D,T,9,Append,2017-10-05 17:31:15,NA,Wednesday,2017-03-01 22:00:00,2029,0.058
