JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolRecycleTime,DayOfWeek,StartTime,Files,GB
9,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Append,NA,Monday,2017-01-02 22:00:00,2030,0.058
11,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Append,NA,Friday,2017-01-06 22:00:02,2030,0.058
28,webserver-job,webserver-weekly-CopyPool-0,F,T,2,Append,NA,Friday,2017-01-13 22:00:02,2030,0.058
45,webserver-job,webserver-weekly-CopyPool-0,F,T,3,Append,NA,Friday,2017-01-20 22:00:02,2030,0.058
62,webserver-job,webserver-weekly-CopyPool-0,F,T,4,Append,NA,Friday,2017-01-27 22:00:02,2030,0.058
79,webserver-job,webserver-monthly-CopyPool-0,F,T,5,Append,NA,Friday,2017-02-03 22:00:02,2030,0.058
96,webserver-job,webserver-weekly-CopyPool-0,F,T,6,Append,NA,Friday,2017-02-10 22:00:02,2030,0.058
99,webserver-job,webserver-daily-CopyPool-0,D,T,6,Used,2017-03-08 12:00:22,Monday,2017-02-06 22:00:03,2029,0.058
101,webserver-job,webserver-daily-CopyPool-0,D,T,6,Used,2017-03-08 12:00:22,Tuesday,2017-02-07 22:00:02,2029,0.058
103,webserver-job,webserver-daily-CopyPool-0,D,T,6,Used,2017-03-08 12:00:22,Wednesday,2017-02-08 22:00:02,2029,0.058
105,webserver-job,webserver-daily-CopyPool-0,D,T,6,Used,2017-03-08 12:00:22,Thursday,2017-02-09 22:00:02,2029,0.058
113,webserver-job,webserver-weekly-CopyPool-0,F,T,7,Append,NA,Friday,2017-02-17 22:00:02,2030,0.058
116,webserver-job,webserver-daily-CopyPool-0,D,T,7,Used,2017-03-08 12:00:22,Monday,2017-02-13 22:00:03,2028,0.058
118,webserver-job,webserver-daily-CopyPool-0,D,T,7,Used,2017-03-08 12:00:22,Tuesday,2017-02-14 22:00:02,2028,0.058
120,webserver-job,webserver-daily-CopyPool-0,D,T,7,Used,2017-03-08 12:00:22,Wednesday,2017-02-15 22:00:02,2028,0.058
122,webserver-job,webserver-daily-CopyPool-0,D,T,7,Used,2017-03-08 12:00:22,Thursday,2017-02-16 22:00:02,2028,0.058
130,webserver-job,webserver-weekly-CopyPool-0,F,T,8,Append,NA,Friday,2017-02-24 22:00:02,2030,0.058
133,webserver-job,webserver-daily-CopyPool-0,D,T,8,Used,2017-03-08 12:00:22,Monday,2017-02-20 22:00:02,2028,0.058
135,webserver-job,webserver-daily-CopyPool-0,D,T,8,Used,2017-03-08 12:00:22,Tuesday,2017-02-21 22:00:02,2028,0.058
137,webserver-job,webserver-daily-CopyPool-1,D,T,8,Append,NA,Wednesday,2017-02-22 22:00:02,2028,0.058
139,webserver-job,webserver-daily-CopyPool-1,D,T,8,Append,NA,Thursday,2017-02-23 22:00:02,2028,0.058
