JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
4,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Used,NA,2018-09-24 22:56:46,Friday,2017-01-06 22:00:00,2030,0.058
44,webserver-job,webserver-weekly-CopyPool-1,F,T,3,Used,NA,2017-10-25 23:15:13,Friday,2017-01-20 22:00:00,2030,0.058
64,webserver-job,webserver-weekly-CopyPool-2,F,T,4,Used,NA,2017-10-25 23:24:22,Friday,2017-01-27 22:00:00,2030,0.058
84,webserver-job,webserver-monthly-CopyPool-1,F,T,5,Used,NA,2018-09-24 23:33:31,Friday,2017-02-03 22:00:00,2030,0.058
104,webserver-job,webserver-weekly-CopyPool-0,F,T,6,Append,2017-09-30 21:42:36,NA,Friday,2017-02-10 22:00:00,2030,0.058
124,webserver-job,webserver-weekly-CopyPool-0,F,T,7,Append,2017-09-30 21:42:36,NA,Friday,2017-02-17 22:00:00,2030,0.058
144,webserver-job,webserver-weekly-CopyPool-0,F,T,8,Append,2017-09-30 21:42:36,NA,Friday,2017-02-24 22:00:00,2030,0.058
148,webserver-job,webserver-daily-CopyPool-0,D,T,9,Used,NA,2017-10-07 00:24:34,Monday,2017-02-27 22:00:01,2028,0.058
152,webserver-job,webserver-daily-CopyPool-0,D,T,9,Used,NA,2017-10-07 00:24:34,Tuesday,2017-02-28 22:00:01,2028,0.058
156,webserver-job,webserver-daily-CopyPool-0,D,T,9,Used,NA,2017-10-07 00:24:34,Wednesday,2017-03-01 22:00:01,2028,0.058
160,webserver-job,webserver-daily-CopyPool-0,D,T,9,Used,NA,2017-10-07 00:24:34,Thursday,2017-03-02 22:00:00,2028,0.058
164,webserver-job,webserver-monthly-CopyPool-2,F,T,9,Append,2017-03-06 20:00:05,NA,Friday,2017-03-03 22:00:00,2030,0.058
168,webserver-job,webserver-daily-CopyPool-0,D,T,10,Used,NA,2017-10-07 00:24:34,Monday,2017-03-06 22:00:00,2028,0.058
172,webserver-job,webserver-daily-CopyPool-0,D,T,10,Used,NA,2017-10-07 00:24:34,Tuesday,2017-03-07 22:00:01,2028,0.058
176,webserver-job,webserver-daily-CopyPool-0,D,T,10,Used,NA,2017-10-07 00:24:34,Wednesday,2017-03-08 22:00:00,2028,0.058
180,webserver-job,webserver-daily-CopyPool-0,D,T,10,Used,NA,2017-10-07 00:24:34,Thursday,2017-03-09 22:00:01,2028,0.058
184,webserver-job,webserver-weekly-CopyPool-0,F,T,10,Append,2017-09-30 21:42:36,NA,Friday,2017-03-10 22:00:00,2030,0.058
188,webserver-job,webserver-daily-CopyPool-0,D,T,11,Used,NA,2017-10-07 00:24:34,Monday,2017-03-13 22:00:00,2028,0.058
192,webserver-job,webserver-daily-CopyPool-0,D,T,11,Used,NA,2017-10-07 00:24:34,Tuesday,2017-03-14 22:00:01,2028,0.058
196,webserver-job,webserver-daily-CopyPool-1,D,T,11,Append,2017-10-02 00:25:50,NA,Wednesday,2017-03-15 22:00:01,2028,0.058
200,webserver-job,webserver-daily-CopyPool-1,D,T,11,Append,2017-10-02 00:25:50,NA,Thursday,2017-03-16 22:00:00,2028,0.058
204,webserver-job,webserver-weekly-CopyPool-0,F,T,11,Append,2017-09-30 21:42:36,NA,Friday,2017-03-17 22:00:00,2030,0.058
208,webserver-job,webserver-daily-CopyPool-1,D,T,12,Append,2017-10-02 00:25:50,NA,Monday,2017-03-20 22:00:00,2028,0.058
212,webserver-job,webserver-daily-CopyPool-1,D,T,12,Append,2017-10-02 00:25:50,NA,Tuesday,2017-03-21 22:00:00,2028,0.058
216,webserver-job,webserver-daily-CopyPool-1,D,T,12,Append,2017-10-02 00:25:50,NA,Wednesday,2017-03-22 22:00:00,2028,0.058
220,webserver-job,webserver-daily-CopyPool-1,D,T,12,Append,2017-10-02 00:25:50,NA,Thursday,2017-03-23 22:00:00,2028,0.058
224,webserver-job,webserver-weekly-CopyPool-0,F,T,12,Append,2017-09-30 21:42:36,NA,Friday,2017-03-24 22:00:00,2030,0.058
228,webserver-job,webserver-daily-CopyPool-1,D,T,13,Append,2017-10-02 00:25:50,NA,Monday,2017-03-27 22:00:00,2028,0.058
232,webserver-job,webserver-daily-CopyPool-1,D,T,13,Append,2017-10-02 00:25:50,NA,Tuesday,2017-03-28 22:00:01,2028,0.058
236,webserver-job,webserver-daily-CopyPool-1,D,T,13,Append,2017-10-02 00:25:50,NA,Wednesday,2017-03-29 22:00:00,2028,0.058
