JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
1,webserver-job,webserver-monthly-volnum-0,F,T,1,Used,NA,2018-01-03 22:00:02,Friday,2017-01-06 22:00:00,2030,0.058
81,webserver-job,webserver-monthly-volnum-1,F,T,5,Used,NA,2018-01-31 22:00:03,Friday,2017-02-03 22:00:00,2030,0.058
101,webserver-job,webserver-weekly-volnum-3,F,T,6,Used,NA,2017-03-10 22:00:03,Friday,2017-02-10 22:00:00,2030,0.058
121,webserver-job,webserver-weekly-volnum-0,F,T,7,Used,NA,2017-03-17 22:00:03,Friday,2017-02-17 22:00:00,2030,0.058
141,webserver-job,webserver-weekly-volnum-1,F,T,8,Used,NA,2017-03-24 22:00:03,Friday,2017-02-24 22:00:00,2030,0.058
161,webserver-job,webserver-monthly-volnum-2,F,T,9,Append,2017-03-06 20:00:00,NA,Friday,2017-03-03 22:00:00,2030,0.058
165,webserver-job,webserver-daily-volnum-0,D,T,10,Used,NA,2017-03-18 22:00:04,Monday,2017-03-06 22:00:00,2028,0.058
169,webserver-job,webserver-daily-volnum-0,D,T,10,Used,NA,2017-03-18 22:00:04,Tuesday,2017-03-07 22:00:01,2028,0.058
173,webserver-job,webserver-daily-volnum-0,D,T,10,Used,NA,2017-03-18 22:00:04,Wednesday,2017-03-08 22:00:00,2028,0.058
177,webserver-job,webserver-daily-volnum-0,D,T,10,Used,NA,2017-03-18 22:00:04,Thursday,2017-03-09 22:00:01,2028,0.058
181,webserver-job,webserver-weekly-volnum-2,F,T,10,Used,NA,2017-04-07 22:00:03,Friday,2017-03-10 22:00:00,2030,0.058
185,webserver-job,webserver-daily-volnum-1,D,T,11,Append,2017-03-17 22:00:01,NA,Monday,2017-03-13 22:00:00,2028,0.058
189,webserver-job,webserver-daily-volnum-1,D,T,11,Append,2017-03-17 22:00:01,NA,Tuesday,2017-03-14 22:00:01,2028,0.058
193,webserver-job,webserver-daily-volnum-1,D,T,11,Append,2017-03-17 22:00:01,NA,Wednesday,2017-03-15 22:00:01,2028,0.058
197,webserver-job,webserver-daily-volnum-1,D,T,11,Append,2017-03-17 22:00:01,NA,Thursday,2017-03-16 22:00:00,2028,0.058
